t_index	term	df
325	alleyway	4
326	alli	152
327	allianc	14
328	alliz	1
329	allot	1
330	allow	178
331	allud	2
332	allus	5
333	alma	1
334	almagor	2
335	almost	133
336	alon	42
337	along	143
338	alongsid	41
339	alou	1
340	alpha	2
341	alphabet	3
342	alpin	1
343	alreadi	209
344	also	823
345	alter	9
346	altern	21
347	although	103
348	altitud	2
349	altogeth	4
350	aluminum	2
351	alun	6
352	alway	121
353	amad	3
354	amanda	17
355	amarillo	2
356	amartej	3
357	amaru	8
358	amass	4
359	amateur	2
360	amaz	10
361	amazingli	1
362	ambassador	62
363	ambersag	3
364	ambigu	1
365	ambit	8
366	ambiti	2
367	ambival	2
368	ambul	14
369	ambush	1
370	ameli	6
371	amend	2
372	amerasian	1
373	america	179
374	american	836
375	americorp	1
376	amh	1
377	ami	2
378	amiabl	2
379	amic	1
380	amid	57
381	amidship	2
382	amin	1
383	amit	1
384	amman	2
385	ammo	1
386	ammonium	1
387	ammunit	25
388	amnesia	2
389	amnesti	2
390	among	236
391	amongst	2
392	amount	32
393	amp	6
394	amphibi	4
395	ampl	2
396	ampli	1
397	amplifi	1
398	amput	15
399	ana	12
400	anacostia	1
401	analges	1
402	analog	1
403	analysi	10
404	analyst	54
405	analyz	5
406	anarch	2
407	anathema	1
408	anatoli	10
409	anca	4
410	ancestor	3
411	ancestr	25
412	ancestri	1
413	anchor	10
414	anchorag	3
415	anchorman	3
416	ancient	5
417	andean	6
418	anderson	11
419	andi	5
420	andjelkov	2
421	andoslavia	1
422	andr	58
423	andrea	24
424	andrei	2
425	andrew	20
426	andrik	3
427	anew	7
428	angel	22
429	anger	55
430	angl	13
431	anglican	1
432	angri	30
433	angrili	4
434	anguish	9
435	anim	2
436	animist	2
437	animos	11
438	anjana	2
439	anjar	10
440	anjay	1
441	ank	2
442	ankl	9
443	ann	11
444	anna	21
445	annabel	1
446	annacon	1
447	annan	19
448	anniversari	16
449	announc	229
450	annoy	2
451	annual	18
452	annul	16
453	anomali	1
454	anonym	75
455	anoth	338
456	answer	59
457	antagon	1
458	antasiaovich	1
459	antenna	2
460	anthem	6
461	anthoni	27
462	anthropologist	4
463	anti	113
464	antiballist	1
465	antibiot	5
466	anticip	19
467	anticlimact	1
468	antonia	7
469	antonin	1
470	antonio	29
471	anwar	4
472	anxieti	3
473	anxiou	12
474	anxious	2
475	anybodi	18
476	anymor	11
477	anyon	60
478	anyth	120
479	anytim	4
480	anyway	14
481	anywher	18
482	aon	1
483	ap	22
484	apart	109
485	ape	1
486	apec	6
487	apex	1
488	apolit	1
489	apolog	25
490	appal	1
491	appallingli	1
492	appar	236
493	apparatu	8
494	appeal	119
495	appear	270
496	appel	1
497	appetit	2
498	appl	5
499	applaud	10
500	applaus	9
501	appleton	3
502	appli	18
503	applic	37
504	appoint	102
505	appointe	3
506	apprais	3
507	appreci	18
508	apprehend	8
509	apprehens	2
510	apprentic	4
511	appris	1
512	approach	67
513	appropri	20
514	approv	28
515	approxim	12
516	april	87
517	aprista	4
518	apron	1
519	aquil	2
520	ar	15
521	arab	135
522	arabi	3
523	arabia	126
524	arabian	59
525	arafat	33
526	arantxa	3
527	arazi	8
528	arbadi	1
529	arbit	1
530	arbitrari	2
531	arbitrarili	1
532	arc	1
533	arch	2
534	archaeolog	2
535	archbishop	5
536	archer	3
537	archeri	4
538	archetyp	1
539	archi	6
540	archibald	1
541	architect	7
542	architectur	5
543	arctic	6
544	ardent	4
545	arduou	1
546	are	2
547	area	304
548	arena	25
549	aretz	1
550	argentin	1
551	argentina	10
552	argu	52
553	arguabl	2
554	argument	22
555	ari	1
556	arid	5
557	arif	1
558	arisen	1
559	arithmet	1
560	aritomi	4
561	ariz	9
562	arizona	7
563	ark	10
564	arkadelphia	1
565	arkan	1
566	arkansa	48
567	arkin	2
568	arleigh	3
569	arlen	2
570	arlington	9
571	arm	182
572	armament	2
573	armbrist	4
574	armenia	2
575	armey	1
576	armi	202
577	armitag	1
578	armor	17
579	armori	3
580	arn	5
581	arnaud	18
582	arni	1
583	arno	1
584	arnold	3
585	arnot	1
586	aros	5
587	around	264
588	arous	1
589	arraign	2
590	arrang	43
591	array	6
592	arrear	1
593	arrest	185
594	arriv	265
595	arrog	5
596	arrow	4
597	arsen	10
598	arseni	1
599	arsonist	1
600	art	12
601	arthriti	1
602	arthur	4
603	articl	8
604	articul	1
605	artifact	1
606	artifici	4
607	artist	5
608	artudo	1
609	arturo	6
610	aruba	2
611	aryapov	1
612	asa	1
613	asahi	1
614	ascend	2
615	ascrib	4
616	asean	1
617	ash	5
618	asham	1
619	ashcroft	200
